Product Name,Category,Price (£),Customer Rating,Rating Count
"APPLE iPhone 11 - 256 GB, Green",Phones,1349.0,5.0,2.0
SONY WF-1000XM4 Wireless Bluetooth Noise-Cancelling Earbuds - Black,Headphones,219.0,4.4,338.0
SONY WF-1000XM4 Wireless Bluetooth Noise-Cancelling Earbuds - Silver,Headphones,219.0,4.4,337.0
SONY WH-1000XM5 Wireless Bluetooth Noise-Cancelling Headphones - Black,Headphones,380.0,5.0,7.0
SONY WH-1000XM5 Wireless Bluetooth Noise-Cancelling Headphones - Silver,Headphones,380.0,5.0,6.0
SONY WF-C500 Wireless Bluetooth Earbuds - Black,Headphones,64.0,4.5,106.0
SAMSUNG Galaxy Buds Pro Wireless Bluetooth Noise-Cancelling Sports Earbuds - Phantom Black,Headphones,179.0,4.0,2208.0
SAMSUNG Galaxy Buds 2 - White,Headphones,99.0,4.4,56.0
APPLE AirPods Pro with MagSafe Charging Case - White,Headphones,39.99,1.0,1.0
APPLE EarPods with Lightning Connector - White,Headphones,36.0,,
SONY WH-1000XM4 Wireless Bluetooth Noise-Cancelling Headphones - Black,Headphones,279.0,4.5,869.0
BEATS Solo 3 Wireless Bluetooth Headphones - Black,Headphones,24.99,4.2,86.0
SONY WH-CH510 Wireless Bluetooth Headphones - Black,Headphones,41.99,4.2,137.0
JLAB AUDIO GO Air POP Wireless Bluetooth Earbuds - Black,Headphones,19.99,4.7,1379.0
BEATS Powerbeats Pro Wireless Bluetooth Sports Earphones - Black,Headphones,199.0,4.8,32.0
SONY WH-1000XM4 Wireless Bluetooth Noise-Cancelling Headphones - Blue,Headphones,279.0,4.5,869.0
SONY WH-CH710N Wireless Bluetooth Noise-Cancelling Headphones - Black,Headphones,95.0,3.6,44.0
SONY WF-C500 Wireless Bluetooth Earbuds - Green,Headphones,64.0,4.5,106.0
BEATS Studio Buds Wireless Bluetooth Noise-Cancelling Earbuds - Black,Headphones,109.0,4.1,64.0
SAMSUNG Galaxy Buds Pro Wireless Bluetooth Noise-Cancelling Sports Earbuds - Phantom Silver,Headphones,179.0,4.0,2208.0
SKULLCANDY Hesh ANC Wireless Bluetooth Noise-Cancelling Headphones - White,Headphones,119.0,4.6,23.0
SONY WH-CH510 Wireless Bluetooth Headphones - Blue,Headphones,41.99,4.2,137.0
SONY WH-CH510 Wireless Bluetooth Headphones - White,Headphones,41.99,4.2,137.0
SONY WF-1000XM3 Wireless Bluetooth Noise-Cancelling Earbuds - Silver,Headphones,94.0,4.1,996.0
SONY WH-CH710N Wireless Bluetooth Noise-Cancelling Headphones - Blue,Headphones,95.0,3.6,44.0
JLAB AUDIO Go Air Sport Wireless Bluetooth Earbuds - Graphite,Headphones,29.99,4.6,181.0
SONY WF-C500 Wireless Bluetooth Earbuds - White,Headphones,64.0,4.5,106.0
BEATS Flex Wireless Bluetooth Earphones - Beats Black,Headphones,199.0,4.6,40.0
BOSE Sport Wireless Bluetooth Earbuds - Black,Headphones,219.0,4.4,338.0
SKULLCANDY Sesh Evo True Wireless Bluetooth Earphones - Black,Headphones,49.0,3.9,52.0
SONY WF-C500 Wireless Bluetooth Earbuds - Orange,Headphones,64.0,4.5,106.0
SONY WH-CH710N Wireless Bluetooth Noise-Cancelling Headphones - White,Headphones,95.0,3.6,44.0
KITSOUND Engage 2 Wireless Bluetooth Noise-Cancelling Headphones - Black,Headphones,39.99,3.3,3.0
SAMSUNG Galaxy Buds Pro Wireless Bluetooth Noise-Cancelling Sports Earbuds - Phantom Violet,Headphones,179.0,4.0,2208.0
BEATS Powerbeats Pro Wireless Bluetooth Sports Earphones - Ivory,Headphones,199.0,4.8,32.0
BEATS Studio Buds Wireless Bluetooth Noise-Cancelling Earbuds - Red,Headphones,109.0,4.1,64.0
SONY Extra Bass MDR-XB55AP Earphones - Black,Headphones,24.99,,
SENNHEISER HD 250BT Wireless Bluetooth Headphones - Black,Headphones,39.0,4.0,1.0
SENNHEISER Momentum Wireless Bluetooth Noise-Cancelling Headphones - Black,Headphones,219.0,,
SONY LinkBuds Wireless Bluetooth Earbuds - White,Headphones,180.0,,
KITSOUND Edge 20 Wireless Bluetooth Earbuds - Black,Headphones,19.99,5.0,1.0
LG TONE Free UFP9 Wireless Bluetooth Noise-Cancelling Earbuds - Black,Headphones,129.0,4.6,122.0
HUAWEI Freebuds Pro Wireless Bluetooth Noise-Cancelling Earphones - Carbon Black,Headphones,87.99,4.2,5.0
JLAB AUDIO GO Air Wireless Bluetooth Earbuds - Black,Headphones,29.99,4.6,181.0
SONY LinkBuds S Wireless Bluetooth Noise-Cancelling Earbuds - Black,Headphones,180.0,,
JABRA Elite Active 4 Wireless Bluetooth Noise-Cancelling Sports Earbuds - Navy,Headphones,99.0,4.9,60.0
LG TONE Free UFP8 Wireless Bluetooth Noise-Cancelling Earbuds - Black,Headphones,99.0,4.7,66.0
BEATS Studio Buds Wireless Bluetooth Noise-Cancelling Earbuds - Pink,Headphones,129.0,5.0,1.0
SONY Extra Bass MDR-XB55AP Earphones - Blue,Headphones,24.99,5.0,1.0
SONY Extra Bass MDR-XB55AP Earphones - Red,Headphones,24.99,,
BEATS Studio Buds Wireless Bluetooth Noise-Cancelling Earbuds - Grey,Headphones,129.0,5.0,1.0
JABRA Elite 3 Wireless Bluetooth Earbuds - Grey,Headphones,59.0,4.8,70.0
JABRA Elite 7 Pro Wireless Bluetooth Noise-Cancelling Earbuds - Black,Headphones,149.0,4.9,61.0
JABRA Elite Active 4 Wireless Bluetooth Noise-Cancelling Sports Earbuds - Mint,Headphones,99.0,4.9,60.0
JABRA Elite Active 4 Wireless Bluetooth Noise-Cancelling Sports Earbuds - Black,Headphones,99.0,4.9,60.0
LG TONE Free UFP8 Wireless Bluetooth Noise-Cancelling Earbuds - White,Headphones,99.0,4.6,50.0
LG TONE Free UFP5 Wireless Bluetooth Noise-Cancelling Earbuds - Black,Headphones,79.0,4.6,55.0
SENNHEISER CX 80S Earphones - Black,Headphones,24.99,4.0,1.0
SKULLCANDY Jib True Wireless Bluetooth Earphones - Blue,Headphones,39.0,4.0,74.0
LG TONE Free UFP5 Wireless Bluetooth Noise-Cancelling Earbuds - White,Headphones,79.0,4.4,47.0
SONY LinkBuds S Wireless Bluetooth Noise-Cancelling Earbuds - White,Headphones,180.0,,
SHURE AONIC 3 Earphones - Black,Headphones,139.0,,
BEATS Studio Buds Wireless Bluetooth Noise-Cancelling Earbuds - Blue,Headphones,129.0,,
SKULLCANDY Crusher ANC Wireless Bluetooth Noise-Cancelling Headphones - Black,Headphones,249.0,5.0,2.0
SONY LinkBuds S Wireless Bluetooth Noise-Cancelling Earbuds - Ecru,Headphones,180.0,,
JLAB AUDIO JBuddies Studio Kids Headphones - Blue,Headphones,12.99,4.4,82.0
TWELVE SOUTH AirSnap AirPod Pro Case Cover - Black,Headphones,34.99,,
JLAB AUDIO JBuds Band Wireless Bluetooth Earphones - Black,Headphones,29.99,4.3,48.0
SHURE AONIC 4 Headphones - Black,Headphones,209.99,5.0,1.0
JLAB AUDIO Studio Wireless Bluetooth Headphones - Black,Headphones,29.99,4.2,161.0
UAG AirPods Pro Case - Black,Headphones,34.99,,
JLAB AUDIO JBuddies Studio Kids Headphones - Purple,Headphones,12.99,4.4,82.0
JLAB AUDIO JBuds Pro Earphones - Black,Headphones,12.99,4.3,313.0
"APPLE 11"" iPad Pro (2021) - 128 GB, Space Grey",Tablets,749.0,4.8,18.0
"APPLE 11"" iPad Pro (2021) - 256 GB, Space Grey",Tablets,849.0,4.9,14.0
"LENOVO Yoga Tab 11 Tablet - 128 GB, Grey",Tablets,249.99,5.0,3.0
"APPLE 11"" iPad Pro (2021) - 256 GB, Silver",Tablets,849.0,4.9,14.0
"SAMSUNG Galaxy Tab S8 11"" Tablet - 128 GB, Silver",Tablets,549.0,5.0,1.0
"APPLE 11"" iPad Pro Cellular (2021) - 128 GB, Space Grey",Tablets,749.0,4.8,18.0
"APPLE 11"" iPad Pro Cellular (2021) - 256 GB, Space Grey",Tablets,849.0,4.9,14.0
"PEBBLE GEAR Disney Mickey & Friends 7"" Kids Tablet - 16 GB",Tablets,99.99,5.0,1.0
"SAMSUNG Galaxy Tab S8 11"" Tablet - 128 GB, Silver",Tablets,549.0,5.0,1.0
BOSCH Serie 6 WAU28T64GB 9 kg 1400 Spin Washing Machine - White,Washing Machine,479.0,4.7,252.0
SAMSUNG Series 6 AddWash + Auto Dose WW90T684DLH/S1 WiFi-enabled 9 kg 1400 Spin Washing Machine - White,Washing Machine,569.0,4.6,54.0
SAMSUNG Series 5+ AddWash WW90T554DAN/S1 WiFi-enabled 9 kg 1400 Spin Washing Machine - Graphite,Washing Machine,479.0,4.5,169.0
SAMSUNG Series 5 ecobubble WW90TA046AX/EU 9 kg 1400 Spin Washing Machine - Graphite,Washing Machine,449.0,4.6,1583.0
SAMSUNG Series 5 ecobubble WW90TA046AE/EU 9 kg 1400 Spin Washing Machine - White,Washing Machine,449.0,4.5,248.0
HOTPOINT NSWM 1043C GG UK N 10 kg 1400 Spin Washing Machine - Graphite,Washing Machine,419.0,5.0,1.0
SAMSUNG Series 5+ AddWash WW90T554DAW/S1 WiFi-enabled 9 kg 1400 Spin Washing Machine - White,Washing Machine,479.0,4.5,164.0
SAMSUNG Series 5+ Auto Dose WW90T534DAW/S1 WiFi-enabled 9 kg 1400 Spin Washing Machine,Washing Machine,479.0,4.4,83.0
SAMSUNG Series 5+ Auto Dose WW90T534DAN/S1 WiFi-enabled 9 kg 1400 Spin Washing Machine - Graphite,Washing Machine,479.0,4.4,89.0
HOOVER H-Wash 300 H3W 68TME NFC 8 kg 1600 Spin Washing Machine - White,Washing Machine,349.0,5.0,2.0
HOOVER H-Wash 300 H3W 68TMGGE 8 kg 1600 Spin Washing Machine - Graphite,Washing Machine,359.99,4.0,1.0
BOSCH Serie 4 WAN28081GB 7 kg 1400 Spin Washing Machine - White,Washing Machine,379.0,4.5,79.0
SAMSUNG Series 5 ecobubble WW80TA046AX/EU 8 kg 1400 Spin Washing Machine - Graphite,Washing Machine,409.0,4.5,257.0
SAMSUNG Series 5 ecobubble WW70TA046TE/EU 7 kg 1400 Spin Washing Machine - White,Washing Machine,409.0,4.5,231.0
SAMSUNG Series 5+ AddWash WW80T554DAN/S1 WiFi-enabled 8 kg 1400 Spin Washing Machine - Graphite,Washing Machine,439.0,4.5,162.0
BOSCH Serie 4 WAN282X1GB 8 kg 1400 Spin Washing Machine - Silver Inox,Washing Machine,479.0,4.6,40.0
SAMSUNG Series 5 ecobubble WW80TA046AE/EU 8 kg 1400 Spin Washing Machine - White,Washing Machine,369.0,4.5,235.0
SAMSUNG Series 5+ Auto Dose WW80T534DAN/S1 WiFi-enabled 8 kg 1400 Spin Washing Machine - Graphite,Washing Machine,569.0,4.5,83.0
HISENSE WFGE10141VM 10 kg 1400 rpm Washing Machine - White,Washing Machine,469.0,5.0,1.0
SAMSUNG Series 4 WW70T4040EE/EU 7 kg 1400 Spin Washing Machine - White,Washing Machine,379.0,1.0,1.0
