Product Name,Price (£),Customer Rating,Rating Count
SHARP SJ-BB02DTXWF 50/50 Fridge Freezer - White,279.99,3.7,48.0
HOOVER HVN 6182W5KN 50/50 Fridge Freezer - White,399.99,4.5,347.0
CANDY CBL3518FK Integrated Smart 70/30 Fridge Freezer - Sliding Hinge,359.0,,0.0
SAMSUNG Bespoke RB34A6B2E12/EU 70/30 Fridge Freezer - White,869.99,4.5,21.0
GRUNDIG GKF35810DN 50/50 Fridge Freezer - Brushed Steel,399.99,4.55,695.0
BOSCH Serie 4 KGV33VLEAG 60/40 Fridge Freezer - Inox,499.99,4.55,23.0
HOTPOINT HBNF 55181 S UK 1 50/50 Fridge Freezer - Silver,369.99,4.5,72.0
HOTPOINT HBNF 55181 B UK 1 50/50 Fridge Freezer - Black,359.99,4.25,111.0
BEKO CSG3582B 50/50 Fridge Freezer - Black,309.99,4.4,2101.0
SAMSUNG Bespoke RL38A776ASR/EU 70/30 Fridge Freezer - Real Stainless,1199.99,4.6,18.0
BEKO MN13790PX Fridge Freezer - Brushed Steel,649.99,3.8,5.0
SAMSUNG RF23R62E3SR/EU Smart Fridge Freezer - Real Stainless,1849.99,4.45,26.0
HAIER Cube Series HTF-456DM6 Fridge Freezer - Stainless Steel,779.99,4.55,270.0
LG GBB72PZEFN 70/30 Fridge Freezer - Steel,699.99,4.55,102.0
GRUNDIG GKF35810W 50/50 Fridge Freezer - White,349.99,4.5,193.0
SAMSUNG RS3000 RS50N3513WW/EU American-Style Fridge Freezer - White,1219.99,4.3,864.0
HISENSE PureFlat RQ758N4SWI1 Fridge Freezer - Stainless Steel,999.99,4.5,84.0
SAMSUNG RS3000 RS50N3513S8/EU American-Style Fridge Freezer - Inox Silver,1049.99,4.3,864.0
BOSCH Serie 2 KIV87NSF0G Integrated 70/30 Fridge Freezer - Sliding Hinge,649.0,4.3,14.0
BEKO Pro HarvestFresh GNE360520DX Fridge Freezer - Stainless Steel,949.99,4.2,30.0
HISENSE RB440N4WCF 60/40 Fridge Freezer - Stainless Steel,399.99,4.5,66.0
SAMSUNG RS3000 RS50N3513SA/EU American-Style Fridge Freezer - Metal Graphite,1169.99,4.3,864.0
HOOVER HMDNB 6184WK 70/30 Fridge Freezer - White,389.99,4.3,12.0
INDESIT INFC8 50TI1 W 1 50/50 Fridge Freezer - White,400.0,4.55,42.0
MONTPELLIER Retro MAB386C 60/40 Fridge Freezer - Cream,579.99,4.5,30.0
HOOVER HVNB 618FDX5WDK 50/50 Fridge Freezer - Black,399.99,4.65,4.0
SAMSUNG Bespoke RB34A6B2E41/EU 70/30 Fridge Freezer - Glam Navy,699.0,4.5,21.0
BOSCH Serie 4 KGV336WEAG 60/40 Fridge Freezer - White,489.99,4.7,30.0
SHARP SJ-BA33DHXIE 50/50 Fridge Freezer - Stainless Steel,449.0,4.25,2.0
LG DoorCooling GBB72MCUF Smart 70/30 Fridge Freezer - Matte Black,829.99,4.55,36.0
HISENSE PureFlat RF540N4WI1 Fridge Freezer - Stainless Steel,799.99,4.5,225.0
SAMSUNG BRB26705FWW/EU Integrated 70/30 Fridge Freezer - Sliding Hinge,749.0,4.15,7.0
BEKO Pro HarvestFresh CFP3691DVW 50/50 Fridge Freezer - Gloss White,489.99,4.4,240.0
BEKO CFG1501B 40/60 Fridge Freezer - Black,419.99,4.5,134.0
SAMSUNG Bespoke RB34A6B2E39/EU 70/30 Fridge Freezer - Beige,869.99,4.5,21.0
SAMSUNG RB34T632ESA/EU 70/30 Fridge Freezer - Silver,729.99,4.55,509.0
SAMSUNG RS8000 RS6HA8891B1/EU American-Style Smart Fridge Freezer - Black Stainless,2649.99,4.75,26.0
SAMSUNG Bespoke RB38A7B53B1/EU 70/30 Fridge Freezer - Black Stainless,1149.99,4.6,18.0
LG InstaView GSXV91BSAE American-Style Smart Fridge Freezer - Stainless Steel,1499.99,4.8,23.0
BEKO Pro HarvestFresh CFP3691VW 50/50 Fridge Freezer - White,439.99,4.5,406.0
HAIER HSR3918FIMP American-Style Fridge Freezer - Platinum Inox,1049.99,4.65,23.0
INDESIT INFC8 50TI1 S 1 50/50 Fridge Freezer - Silver,419.99,,0.0
BEKO Pro CXFG3691S 50/50 Fridge Freezer - Silver,449.99,4.5,836.0
HOTPOINT NFFUD 191 X 1 50/50 Fridge Freezer - Optic Inox,599.99,4.5,74.0
HISENSE PureFlat RQ758N4SWF1 Fridge Freezer - Black Stainless Steel,1049.99,4.45,61.0
LOGIK LSBSX20 American-Style Fridge Freezer - Inox,499.99,4.6,232.0
GRUNDIG GKFED455 Integrated 50/50 Fridge Freezer - Sliding Hinge,599.0,3.9,65.0
SAMSUNG RS3000 RS52N3313SA/EU American-Style Fridge Freezer - Metal Graphite,1099.99,4.4,122.0
HISENSE PureFlat RQ563N4AI1 Fridge Freezer - Stainless Steel,749.99,4.5,149.0
BOSCH KGE49AICAG 60/40 Fridge Freezer - Inox,679.99,4.5,23.0
HISENSE RF750N4ISF Fridge Freezer - Stainless Steel,889.99,4.8,8.0
SHARP SJ-BA33IHXWE 50/50 Fridge Freezer - White,429.99,4.25,13.0
BEKO Pro HarvestFresh CNG4601DVPS 50/50 Fridge Freezer - Stainless Steel Effect,529.99,3.8,14.0
LG NatureFRESH GBF62PZJMN 70/30 Fridge Freezer - Graphite,699.99,4.9,4.0
HOOVER HHSF918F1XK American-Style Fridge Freezer - Stainless Steel,729.99,,0.0
HISENSE RB395N4WF1 60/40 Fridge Freezer - Black,469.99,4.5,92.0
SAMSUNG RS3000 RS52N3313WW/EU American-Style Fridge Freezer - White,989.99,4.4,82.0
BEKO Pro CXFG3691W 50/50 Fridge Freezer - White,419.99,4.5,836.0
LG NatureFRESH GSLV71MCTF American-Style Smart Fridge Freezer - Matte Black,1049.99,4.9,26.0
BEKO Pro CXFG3685W 60/40 Fridge Freezer - White,419.99,4.45,217.0
HISENSE PureFlat RQ563N4AF1 Fridge Freezer - Black Steel,699.99,4.65,82.0
HOOVER HMDNB 6184XK 70/30 Fridge Freezer - Silver,399.99,4.3,28.0
BEKO ASL1342B American-Style Fridge Freezer - Black,769.99,4.25,62.0
INDESIT IBNF 55181 W UK 1 60/40 Fridge Freezer - White,339.99,4.35,86.0
BEKO Pro CFG1790DW 50/50 Fridge Freezer - White,509.99,4.45,298.0
BEKO Pro CFG1790DS 50/50 Fridge Freezer - Silver,529.99,4.45,298.0
BEKO CFG3582W 50/50 Fridge Freezer - White,369.99,4.45,1443.0
HOOVER HVNB 618FDX5K 50/50 Fridge Freezer - Dark Inox,399.99,,0.0
LG NatureFRESH GBB62PZGCC 70/30 Fridge Freezer,779.99,4.6,18.0
HISENSE RB390N4WC1 60/40 Fridge Freezer - Stainless Steel,429.99,4.5,111.0
HISENSE PureFlat RF632N4WIF Fridge Freezer - Stainless Steel,729.99,3.65,4.0
LIEBHERR CU2331 60/40 Fridge Freezer - White,419.99,4.55,89.0
HOTPOINT HBNF 55181 S AQUA UK 1 50/50 Fridge Freezer - Silver,379.99,4.2,739.0
HISENSE PureFlat RQ758N4SAI1 Fridge Freezer - Stainless Steel,1049.99,4.4,91.0
LG InstaView GSXV91MCAE American-Style Smart Fridge Freezer - Matte Black,1599.99,5.0,9.0
BOSCH Serie 4 KGN36VLEAG 60/40 Fridge Freezer - Silver,629.99,4.65,100.0
BEKO Pro HarvestFresh CFP3691DVS 50/50 Fridge Freezer - Matte Silver,479.99,4.4,240.0
SAMSUNG RB36T602ESA/EU 70/30 Fridge Freezer - Silver,599.99,4.55,440.0
HAIER Cube Series HTF-540DGG7 Fridge Freezer - Iconic Glass,1349.99,4.75,48.0
GRUNDIG GKFED473 Integrated 70/30 Fridge Freezer - Sliding Hinge,559.0,4.0,51.0
INDESIT LI6 S1E W 70/30 Fridge Freezer - White,319.99,4.15,38.0
HISENSE PureFlat RF540N4AI1 Fridge Freezer - Stainless Steel,799.99,4.65,127.0
SAMSUNG RS8000 RS68A8520S9/EU American-style Fridge Freezer - Matte Stainless,1619.99,4.45,1803.0
HISENSE PureFlat RF749N4WFF Fridge Freezer - Black Stainless Steel,1139.99,,0.0
SHARP SJ-BF227M00X Integrated 50/50 Fridge Freezer - Fixed Hinge,449.0,3.25,13.0
KENWOOD KNFD2MT22 70/30 Fridge Freezer - Black Inox,499.99,,0.0
BEKO Pro HarvestFresh CFG3691DVA 50/50 Fridge Freezer - Anthracite,499.99,4.55,93.0
BOSCH Serie 2 KIN85NFF0G Integrated 50/50 Fridge Freezer - Fixed Hinge,829.0,4.0,3.0
BOSCH Serie 2 KGN33NLEAG 60/40 Fridge Freezer - Inox,479.99,4.4,22.0
MONTPELLIER MFF18860X 60/40 Fridge Freezer - Inox,369.99,4.25,22.0
NEFF KI7851SF0G 50/50 Integrated Fridge Freezer - Sliding Hinge,819.0,4.0,4.0
HAIER HTF-520IP7 Fridge Freezer - Silver,1099.99,4.7,80.0
HISENSE RB440N4WFF 60/40 Fridge Freezer - Black Stainless Steel,499.99,4.45,67.0
SAMSUNG RS8000 RS68A8530B1/EU American-Style Fridge Freezer - Black Steel,1699.99,4.45,1803.0
CANDY BCBF 50 NUK/N Integrated 50/50 Fridge Freezer - Sliding Hinge,429.0,3.0,11.0
HOTPOINT H3T 811I W 1 60/40 Fridge Freezer - White,479.99,4.1,230.0
SAMSUNG RS8000 RS68A8840S9/EU American-Style Fridge Freezer - Matte Stainless,1749.99,4.45,1803.0
HOOVER HMDNB 6184BK 70/30 Fridge Freezer - Black,399.99,3.85,11.0
HOOVER HOBL3518FK Integrated Smart 70/30 Fridge Freezer – Sliding Hinge,389.0,,0.0
HOOVER HHSBSO 6174BWDK American-Style Fridge Freezer - Black,779.99,,0.0
BEKO Pro GNE360520PX American-Style Fridge Freezer - Brushed Steel,899.99,4.55,22.0
MONTPELLIER MS175DW 50/50 Fridge Freezer - White,349.99,5.0,1.0
HAIER HFW7720EWMP Smart Fridge Freezer - Platinum Inox,1299.99,,0.0
AEG SCE818F6NS Integrated 50/50 Fridge Freezer - Sliding Hinge,849.0,3.95,16.0
LG DoorCooling GBD62PZYFN 70/30 Fridge Freezer - Shiny Steel,779.99,4.75,49.0
BEKO Pro HarvestFresh CFP3691VB 50/50 Fridge Freezer - Black,499.99,4.5,406.0
LG InstaView GMX844MC6F Slim American-Style Smart Fridge Freezer - Black,2399.99,4.3,11.0
SAMSUNG RF50A5002S9/EU Fridge Freezer - Matte Stainless Steel,1499.99,4.45,16.0
HOOVER HVNB 618FX5WDK 50/50 Fridge Freezer - White,399.99,4.05,17.0
SAMSUNG RF65A967FS9/EU Smart Fridge Freezer - Silver,2249.99,4.4,10.0
LG Door-in-Door GSJV91BSAE American-Style Smart Fridge Freezer - Stainless Steel,1299.99,4.55,7.0
SAMSUNG RS8000 RS68A8530S9/EU American-Style Fridge Freezer - Matte Stainless,1699.99,4.45,1803.0
BOSCH KGE49AWCAG 60/40 Fridge Freezer - White,699.99,4.7,39.0
LG NatureFRESH GML844PZ6F Slim American-Style Fridge Freezer - Shiny Steel,1699.99,3.9,5.0
SAMSUNG RF50K5960S8/EU Fridge Freezer - Silver,1199.99,4.55,175.0
BEKO CXFP3582DW 50/50 Fridge Freezer - White,349.99,4.45,1589.0
LG NatureFRESH GSLD80PZRF American-Style Smart Fridge Freezer - Shiny Steel,999.99,4.75,8.0
KENWOOD KNF70X19 70/30 Fridge Freezer - Silver,549.99,4.6,63.0
BEKO Pro HarvestFresh GNE480EC3DVX Fridge Freezer - Stainless Steel,899.99,4.2,16.0
SHARP SJ-BA31DHXWE-EN 60/40 Fridge Freezer - White,399.99,4.35,18.0
HAIER HFW7819EWMP Smart Fridge Freezer - Platinum Inox,1399.99,4.5,1.0
SAMSUNG RB38T606DS9/EU 70/30 Fridge Freezer - Matte Stainless Steel,799.99,4.55,46.0
BOSCH KAN93VIFPG American-Style Fridge Freezer - Inox,1499.99,4.5,6.0
LG NatureFRESH GSLV71PZTF American-Style Smart Fridge Freezer - Shiny Steel,999.99,4.9,26.0
MIELE KFN 29162D 60/40 Fridge Freezer - Clean Steel,999.99,4.6,25.0
LG NatureFRESH GSLV91PZAE American-Style Smart Fridge Freezer - Shiny Steel,1099.99,4.6,9.0
BOSCH Serie 4 KGN49XLEA 70/30 Fridge Freezer - Inox,799.99,4.5,64.0
BOSCH Serie 4 KIV86VSE0G Integrated 60/40 Fridge Freezer - Sliding Hinge,769.0,4.2,5.0
HISENSE RB395N4AW1 60/40 Fridge Freezer - White,369.99,4.65,120.0
INDESIT IBD 5517 B UK 1 50/50 Fridge Freezer - Black,349.99,4.35,361.0
LG SIGNATURE Instaview LSR100 Smart 60/40 Fridge Freezer - Stainless Steel,7249.99,4.5,2.0
SAMSUNG RB38T636DB1/EU 70/30 Fridge Freezer - Black Stainless Steel,929.99,4.5,116.0
HISENSE PureFlat RF632N4WFF Fridge Freezer - Black Stainless Steel,749.99,4.65,6.0
HOOVER HSF818FXWDK Fridge Freezer - Stainless Steel,899.99,4.5,4.0
SHARP SJ-BB04DTXSF 60/40 Fridge Freezer - Silver,349.99,3.65,43.0
SAMSUNG RF50A5002B1/EU Fridge Freezer - Black Stainless Steel,1499.99,4.45,16.0
BEKO Pro HarvestFresh ASP34B32VPS American-Style Fridge Freezer - Stainless Steel,1049.99,4.8,5.0
LG NatureFRESH GSBV70DSTF American-Style Fridge Freezer - Dark Graphite,1199.99,4.4,8.0
LIEBHERR CNfb4313 60/40 Fridge Freezer - Blue,549.0,4.55,124.0
BEKO Pro MN1436224DPS Fridge Freezer - Stainless Steel,949.99,4.2,14.0
HAIER Cube Series HTF-610DSN7 Fridge Freezer - Black Stainless Steel,1599.99,4.7,36.0
SAMSUNG RF50A5202B1/EU Fridge Freezer - Black Stainless Steel,1199.99,4.0,25.0
LG GBB92STAXP Smart 70/30 Fridge Freezer - Steel,899.99,4.8,67.0
SMEG FAB30LPB5UK 70/30 Fridge Freezer - Pastel Blue,1589.99,5.0,3.0
BEKO Pro HarvestFresh CXFG3685DVW 60/40 Fridge Freezer - White,449.99,4.4,112.0
HAIER HSR3918ENPG American-Style Fridge Freezer - Silver,729.99,4.6,25.0
BEKO Pro MN1436224PS Fridge Freezer - Stainless Steel,919.0,4.7,20.0
SHARP SJ-BF237M00X-EN Integrated 70/30 Fridge Freezer - Fixed Hinge,459.0,4.0,2.0
SAMSUNG RF23R62E3B1/EU Smart Fridge Freezer - Black Stainless Steel,1849.99,4.55,28.0
LG NatureFRESH GSLV70MCTF American-Style Smart Fridge Freezer - Matte Black,1399.99,4.1,6.0
HOTPOINT H1NT 811E OX 1 60/40 Fridge Freezer - Stainless Steel,419.99,4.3,132.0
BOSCH Serie 6 KIN86AFF0G Integrated 60/40 Fridge Freezer - Fixed Hinge,1039.0,5.0,3.0
MONTPELLIER Retro MAB386R 60/40 Fridge Freezer - Red,549.99,4.4,13.0
SMEG UKC8174NF Integrated 50/50 Fridge Freezer - Sliding Hinge,929.0,4.25,2.0
HISENSE RB395N4WW1 60/40 Fridge Freezer - White,379.99,4.7,111.0
HISENSE RB390N4WW1 60/40 Fridge Freezer - White,399.99,4.35,77.0
HISENSE RB390N4WB1 60/40 Fridge Freezer - Black,429.99,4.55,97.0
SAMSUNG RF65A977FSR/EU Multi-Door Smart Fridge Freezer - Stainless Steel,3799.99,4.85,7.0
ZANUSSI ZNHN18FS1 Integrated 70/30 Fridge Freezer - Sliding Hinge,709.0,4.0,5.0
MONTPELLIER MIFF5151F Integrated 50/50 Fridge Freezer - Sliding Hinge,459.0,,0.0
NEFF KI7862SE0G 60/40 Integrated Fridge Freezer - Sliding Hinge,849.0,,0.0
GRUNDIG VitaminZone GKN4685VPZ 60/40 Fridge Freezer - Brushed Black Steel,469.99,4.1,13.0
BEKO Pro HarvestFresh CFG3691DVB 50/50 Fridge Freezer - Black,499.99,4.55,93.0
BEKO Pro HarvestFresh ASP33B32VPS American-Style Fridge Freezer - Stainless Steel,999.99,,0.0
BOSCH Serie 4 KGN56XLEA 80/20 Fridge Freezer - Inox,969.99,4.65,15.0
INDESIT LI8 S1E S 60/40 Fridge Freezer - Silver,379.99,4.4,13.0
HISENSE PureFlat RF540N4AF1 Fridge Freezer - Black Steel,799.99,4.65,127.0
HAIER HB20FPAAA Multi-Door Fridge Freezer - Stainless Steel,999.99,4.65,68.0
HISENSE RQ760N4AIF American-Style Fridge Freezer - Stainless Steel,1399.99,3.4,16.0
SAMSUNG RF22R7351SR/EU American-Style Smart Fridge Freezer - Real Stainless,2499.99,4.45,112.0
MONTPELLIER MIFF502 Integrated 50/50 Fridge Freezer - Sliding Hinge,419.0,4.75,2.0
GRUNDIG VitaminZone GKN4685VW 60/40 Fridge Freezer - White,409.99,4.1,13.0
