Product Name,Category,Price (£),Customer Rating,Rating Count
"PANASONIC TX-40JX800B 40"" Smart 4K Ultra HD HDR LED TV with Google Assistant",TV,314.99,3.9,123.0
"JVC LT-24C605 24"" Smart HD Ready HDR LED TV with Built-in DVD Player",TV,169.99,4.4,412.0
"SAMSUNG QE55QN85AATXXU 55"" Smart 4K Ultra HD HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,899.0,4.45,163.0
"SAMSUNG The Frame QE32LS03TCUXXU 32"" Smart Full HD HDR QLED TV with Bixby, Alexa & Google Assistant - Black",TV,369.0,4.0,253.0
"SAMSUNG UE50AU7100KXXU 50"" Smart 4K Ultra HD HDR LED TV",TV,399.0,4.45,1138.0
"JVC LT-65CF810 65"" Smart 4K Ultra HD HDR LED Fire TV with Amazon Alexa",TV,449.0,4.6,6.0
"LOGIK L58AUE21 Android TV 58"" Smart 4K Ultra HD HDR LED TV with Google Assistant",TV,349.0,4.0,125.0
"SAMSUNG UE55AU7100KXXU 55"" Smart 4K Ultra HD HDR LED TV",TV,449.0,4.45,1138.0
"LG OLED48A16LA 48"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,599.0,4.55,255.0
"JVC LT-55CF810 55"" Smart 4K Ultra HD HDR LED Fire TV with Amazon Alexa",TV,349.0,4.15,19.0
"PANASONIC TX-58JX800B 58"" Smart 4K Ultra HD HDR LED TV with Google Assistant",TV,382.49,3.9,123.0
"SAMSUNG QE55Q60AAUXXU 55"" Smart 4K Ultra HD HDR QLED TV with Bixby, Alexa & Google Assistant",TV,599.0,4.4,1018.0
"LG 43NANO756PR 43"" Smart 4K Ultra HD HDR LED TV with Google Assistant & Amazon Alexa",TV,379.0,4.15,401.0
"PHILIPS 58PUS8506/12 58"" Smart 4K Ultra HD HDR LED TV with Google Assistant",TV,499.0,4.15,18.0
"JVC LT-65CF890 Fire TV Edition 65"" Smart 4K Ultra HD HDR LED TV with Amazon Alexa",TV,429.0,4.4,422.0
"JVC LT-39C3210 39"" Smart HD Ready HDR LED TV",TV,199.0,4.35,452.0
"SAMSUNG UE58AU7100KXXU 58"" Smart 4K Ultra HD HDR LED TV",TV,499.0,4.35,137.0
"TCL 55RP620K Roku 55"" Smart 4K Ultra HD HDR LED TV",TV,329.0,4.45,514.0
"SAMSUNG QE55QN95AATXXU 55"" Smart 4K Ultra HD HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,1199.0,4.45,142.0
"LG 55UP81006LR 55"" Smart 4K Ultra HD HDR LED TV with Google Assistant & Amazon Alexa",TV,399.0,4.65,24.0
"TOSHIBA 32WK3C63DB 32"" Smart HD Ready HDR LED TV with Amazon Alexa",TV,189.0,4.25,79.0
